barcode,location,author,title,publisher_code,status,description
31426,ECE,SERGIO FRANCO,Design with Operational Amplifiers and Analog Integrated Circuits,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by SERGIO FRANCO, covering key principles and applications related to 'Design with Operational Amplifiers and Analog Integrated Circuits'. Ideal for engineering students and professionals."
31427,ECE,SERGIO FRANCO,Design with Operational Amplifiers and Analog Integrated Circuits,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by SERGIO FRANCO, covering key principles and applications related to 'Design with Operational Amplifiers and Analog Integrated Circuits'. Ideal for engineering students and professionals."
31428,ECE,SERGIO FRANCO,Design with Operational Amplifiers and Analog Integrated Circuits,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by SERGIO FRANCO, covering key principles and applications related to 'Design with Operational Amplifiers and Analog Integrated Circuits'. Ideal for engineering students and professionals."
31429,ECE,SERGIO FRANCO,Design with Operational Amplifiers and Analog Integrated Circuits,TATAMCGRAW-HILL,Not for loan,"A comprehensive guide authored by SERGIO FRANCO, covering key principles and applications related to 'Design with Operational Amplifiers and Analog Integrated Circuits'. Ideal for engineering students and professionals."
31430,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31431,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31432,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31433,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31434,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31435,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31436,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31437,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31438,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31439,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Not for loan,"A comprehensive guide authored by SIMON HAYKIN, covering key principles and applications related to 'Signals And Systems'. Ideal for engineering students and professionals."
31440,ECE,WILLIAM STALLINGS,Data And Computer Communications,PRENTICEHALLOFINDIA,Available,"A comprehensive guide authored by WILLIAM STALLINGS, covering key principles and applications related to 'Data And Computer Communications'. Ideal for engineering students and professionals."
31441,MBA,BISWAJEET PATTANAYAK,HUMAN  RESOURCE MANAGEMENT,PRENTICEHALL,Available,"A comprehensive guide authored by BISWAJEET PATTANAYAK, covering key principles and applications related to 'HUMAN  RESOURCE MANAGEMENT'. Ideal for engineering students and professionals."
31442,MBA,BISWAJEET PATTANAYAK,HUMAN  RESOURCE MANAGEMENT,PRENTICEHALL,Available,"A comprehensive guide authored by BISWAJEET PATTANAYAK, covering key principles and applications related to 'HUMAN  RESOURCE MANAGEMENT'. Ideal for engineering students and professionals."
31443,MBA,BISWAJEET PATTANAYAK,HUMAN  RESOURCE MANAGEMENT,PRENTICEHALL,Available,"A comprehensive guide authored by BISWAJEET PATTANAYAK, covering key principles and applications related to 'HUMAN  RESOURCE MANAGEMENT'. Ideal for engineering students and professionals."
31444,MBA,BISWAJEET PATTANAYAK,HUMAN  RESOURCE MANAGEMENT,PRENTICEHALL,Not for loan,"A comprehensive guide authored by BISWAJEET PATTANAYAK, covering key principles and applications related to 'HUMAN  RESOURCE MANAGEMENT'. Ideal for engineering students and professionals."
31445,MBA,EDWARD T DOWLING,THEORY AND PROBLEMS OF INTRODUCTION TO MATHEMATICAL ECONOMICS,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by EDWARD T DOWLING, covering key principles and applications related to 'THEORY AND PROBLEMS OF INTRODUCTION TO MATHEMATICAL ECONOMICS'. Ideal for engineering students and professionals."
31446,MBA,EDWARD T DOWLING,THEORY AND PROBLEMS OF INTRODUCTION TO MATHEMATICAL ECONOMICS,TATAMCGRAW-HILL,Not for loan,"A comprehensive guide authored by EDWARD T DOWLING, covering key principles and applications related to 'THEORY AND PROBLEMS OF INTRODUCTION TO MATHEMATICAL ECONOMICS'. Ideal for engineering students and professionals."
31447,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by M Y KHAN, covering key principles and applications related to 'Financial Management'. Ideal for engineering students and professionals."
31448,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by M Y KHAN, covering key principles and applications related to 'Financial Management'. Ideal for engineering students and professionals."
31449,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by M Y KHAN, covering key principles and applications related to 'Financial Management'. Ideal for engineering students and professionals."
31450,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by M Y KHAN, covering key principles and applications related to 'Financial Management'. Ideal for engineering students and professionals."
31451,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by M Y KHAN, covering key principles and applications related to 'Financial Management'. Ideal for engineering students and professionals."
31452,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available,"A comprehensive guide authored by M Y KHAN, covering key principles and applications related to 'Financial Management'. Ideal for engineering students and professionals."
31453,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Not for loan,"A comprehensive guide authored by M Y KHAN, covering key principles and applications related to 'Financial Management'. Ideal for engineering students and professionals."
31454,ECE,WILLIAM D STANLEY,Operational Amplifiers and Linear Integrated Circuits,PEARSIONEDUCATION,Available,"A comprehensive guide authored by WILLIAM D STANLEY, covering key principles and applications related to 'Operational Amplifiers and Linear Integrated Circuits'. Ideal for engineering students and professionals."
31455,ECE,WILLIAM D STANLEY,OPERATIIONAL AMPLIFIERS AND LINEAR INTEGRATED CIRCUITS,PEARSONEDUCATION,Not for loan,"A comprehensive guide authored by WILLIAM D STANLEY, covering key principles and applications related to 'OPERATIIONAL AMPLIFIERS AND LINEAR INTEGRATED CIRCUITS'. Ideal for engineering students and professionals."
31456,ECE,WILLIAM D STANLEY,Operational Amplifiers and Linear Integrated Circuits,PEARSIONEDUCATION,Available,"A comprehensive guide authored by WILLIAM D STANLEY, covering key principles and applications related to 'Operational Amplifiers and Linear Integrated Circuits'. Ideal for engineering students and professionals."
31457,ECE,WILLIAM D STANLEY,Operational Amplifiers and Linear Integrated Circuits,PEARSONEDUCATION,Available,"A comprehensive guide authored by WILLIAM D STANLEY, covering key principles and applications related to 'Operational Amplifiers and Linear Integrated Circuits'. Ideal for engineering students and professionals."
31458,ECE,WILLIAM D STANLEY,Operational Amplifiers and Linear Integrated Circuits,PEARSONEDUCATION,Not for loan,"A comprehensive guide authored by WILLIAM D STANLEY, covering key principles and applications related to 'Operational Amplifiers and Linear Integrated Circuits'. Ideal for engineering students and professionals."
