barcode,location,author,title,publisher_code,status
31426,ECE,SERGIO FRANCO,Design with Operational Amplifiers and Analog Integrated Circuits,TATAMCGRAW-HILL,Available
31427,ECE,SERGIO FRANCO,Design with Operational Amplifiers and Analog Integrated Circuits,TATAMCGRAW-HILL,Available
31428,ECE,SERGIO FRANCO,Design with Operational Amplifiers and Analog Integrated Circuits,TATAMCGRAW-HILL,Available
31429,ECE,SERGIO FRANCO,Design with Operational Amplifiers and Analog Integrated Circuits,TATAMCGRAW-HILL,Not for loan
31430,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available
31431,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available
31432,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available
31433,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available
31434,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available
31435,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available
31436,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available
31437,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available
31438,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Available
31439,ECE,SIMON HAYKIN,Signals And Systems,JOHNWIILEY&SONS,Not for loan
31440,ECE,WILLIAM STALLINGS,Data And Computer Communications,PRENTICEHALLOFINDIA,Available
31441,MBA,BISWAJEET PATTANAYAK,HUMAN  RESOURCE MANAGEMENT,PRENTICEHALL,Available
31442,MBA,BISWAJEET PATTANAYAK,HUMAN  RESOURCE MANAGEMENT,PRENTICEHALL,Available
31443,MBA,BISWAJEET PATTANAYAK,HUMAN  RESOURCE MANAGEMENT,PRENTICEHALL,Available
31444,MBA,BISWAJEET PATTANAYAK,HUMAN  RESOURCE MANAGEMENT,PRENTICEHALL,Not for loan
31445,MBA,EDWARD T DOWLING,THEORY AND PROBLEMS OF INTRODUCTION TO MATHEMATICAL ECONOMICS,TATAMCGRAW-HILL,Available
31446,MBA,EDWARD T DOWLING,THEORY AND PROBLEMS OF INTRODUCTION TO MATHEMATICAL ECONOMICS,TATAMCGRAW-HILL,Not for loan
31447,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available
31448,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available
31449,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available
31450,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available
31451,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available
31452,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Available
31453,MBA,M Y KHAN,Financial Management,TATAMCGRAW-HILL,Not for loan
31454,ECE,WILLIAM D STANLEY,Operational Amplifiers and Linear Integrated Circuits,PEARSIONEDUCATION,Available
31455,ECE,WILLIAM D STANLEY,OPERATIIONAL AMPLIFIERS AND LINEAR INTEGRATED CIRCUITS,PEARSONEDUCATION,Not for loan
31456,ECE,WILLIAM D STANLEY,Operational Amplifiers and Linear Integrated Circuits,PEARSIONEDUCATION,Available
31457,ECE,WILLIAM D STANLEY,Operational Amplifiers and Linear Integrated Circuits,PEARSONEDUCATION,Available
31458,ECE,WILLIAM D STANLEY,Operational Amplifiers and Linear Integrated Circuits,PEARSONEDUCATION,Not for loan
31459,CSE,FRED HALLSAL,"DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS",PEARSONEDUCATION,Available
31460,CSE,FRED HALLSAL,"DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS",PEARSONEDUCATION,Available
31463,CSE,FRED HALLSAL,"DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS",PEARSONEDUCATION,Available
31464,CSE,FRED HALLSAL,"DATA COMMUNICATION, COMPUTER NETWORK AND OPEN SYSTEMS",PEARSONEDUCATION,Not for loan
31466,ECE,ALAN V OPPENHEIM,Signal And Systems,PEARSONEDUCATION,Available
31468,ECE,ALAN V OPPENHEIM,Signal And Systems,PEARSONEDUCATION,Available
31469,ECE,ALAN V OPPENHEIM,Signal And Systems,PEARSONEDUCATION,Available
